Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,diet_type,Unnamed: 0,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients,image_path
keto,Chocolate Truffles,french,97.43,199.83,317.72,2022-10-16,17:59:23,keto,7262,Chocolate Truffles,"['12 ounces good-quality semi-sweet or bittersweet chocolate', '2/3 cup heavy cream or nondairy whipping cream', '2 tablespoons Dutch processed cocoa powder', ""2 tablespoons confectioner's sugar"", '3 tablespoons finely chopped unsalted pistachios, almonds, or hazelnuts']","Finely chop the chocolate by hand or in a food processor fitted with a metal blade, and place in a medium bowl. Pour the cream into a small heavy saucepan. Bring to a rolling boil over medium heat. Pour the cream over the chocolate. With a wooden spoon, gently stir to melt the chocolate. Don't whisk or stir too strongly or you will incorporate air. Cover. Chill until firm, about 2 hours.
Line a baking sheet with parchment or waxed paper. With a small melon baller or ice-cream scoop, drop mixture by rounded teaspoonfuls onto prepared sheet. Freeze until firm, about 20 minutes.
Place the cocoa, confectioner's sugar, and chopped nuts into 3 separate shallow bowls.
Roll 1/3 of the balls into the cocoa mixture, 1/3 into the confectioner's sugar, and 1/3 into the chopped nuts. Quickly roll between your palms to form them into a perfect round shape. You may need to re-roll in the nuts or sugar if too much falls off. Return to parchment-lined baking sheet or other parchment-lined container, in a single layer. Cover with plastic and chill until ready to serve. Can be made 10 days ahead; keep refrigerated.",chocolate-truffles-364213,"['12 ounces good-quality semi-sweet or bittersweet chocolate', '2/3 cup heavy cream or nondairy whipping cream', '2 tablespoons Dutch processed cocoa powder', '""2 tablespoons confectioners sugar""', '3 tablespoons finely chopped unsalted pistachios', 'almonds', 'or hazelnuts']",D:\fooddata\images\chocolate-truffles-364213
keto,Chocolate Truffles,french,97.43,199.83,317.72,2022-10-16,17:59:23,keto,11834,Chocolate Truffles,"['Generous 2 cups (18 ounces; 500 grams) heavy cream', '21 ounces (600 grams) bittersweet chocolate, finely chopped', 'Generous 1/4 cup (2 ounces; 60 grams) Grand Marnier or Stoli Razberi vodka (optional)', '18 ounces (500 grams) bittersweet chocolate, tempered', '18 ounces (500 grams) white chocolate, tempered', '2 cups (8 ounces; 230 grams) Dutch-processed unsweetened cocoa powder, sifted', '2 1/2 cups (9 ounces; 250 grams) shredded sweetened coconut, toasted (see note, below)', 'About 2 cups (8 ounces; 230 grams) toasted nuts, finely chopped (see note, below)']","Heat the heavy cream in a 2-quart heavy-bottomed saucepan until bubbles begin to form around the edge of the pan. Make sure that you have chopped the chocolate as finely as possible to allow it to melt quickly and easily. Place the chopped chocolate in a medium-size mixing bowl. Make a ganache by pouring about half of the hot cream over the chocolate and letting it sit for 30 seconds to melt the chocolate. Then slowly whisk until smooth and homogenous. Do not add all of the hot cream to the cold chocolate at once; the shock of the temperature extremes would cause the fat in the chocolate to separate. As the chocolate melts, you will see some elasticity if there is no fat separation. This means the chocolate still has an emulsion; the fat molecules are still holding together. If the ganache separates, it loses its elasticity, collapses, and becomes very liquid. I use a hand-held immersion blender to ensure a smooth ganache and to keep the emulsion of the chocolate. Add the remaining cream gradually and mix until all of the hot cream is incorporated and the ganache is smooth and homogenous.
If the ganache separates, it is very easy to fix. Simply add a small amount of cold cream and whisk well. This will bring the ganache back together. The ganache should be thick, shiny, and smooth. Add the desired flavoring and mix until fully incorporated. Pour the ganache onto a plastic wrap-covered baking sheet and spread evenly with a rubber spatula. Cover the ganache with plastic wrap and allow it to cool for at least 4 hours at room temperature. I usually make the ganache at the end of the day and let it cool overnight. As it cools, it will thicken and set.
When the ganache has cooled to the consistency of toothpaste, scrape it into a pastry bag fitted with a 1/2-inch plain tip. Do not stir the ganache when you do this. Incorporating air by stirring will cause the ganache to harden. Pipe 1-inch-diameter mounds spaced 1 inch apart on a parchment paper-covered baking sheet. To pipe the mounds, hold the pastry bag at a slight angle and allow the tip to touch the parchment as you begin to pipe. Once you have formed the mound, stop squeezing and lift the tip straight up, leaving a small tail on the top of each mound. You can also use a spoon and drop small mounds of ganache onto the baking sheet. Let the truffles harden at room temperature for a couple of hours (or in the refrigerator for 15 minutes), until they are hard enough to roll with your hands.
When I roll the truffles, I usually wear surgical gloves. The gloves are not mandatory but if you do not use them, be sure your hands are very clean. To roll the mound into a ball, place a truffle between both palms, squeeze slightly, and roll between your hands. The truffles will look nicer if they are as round as possible. When all the truffles are rolled into balls, they are ready to be coated. If they have become too soft, place them in the refrigerator for 1 to 2 hours until they are firm enough to dip.
You can use either a dipping fork or your hands to dip the truffles in chocolate. To use the fork, drop the truffle into the bowl of tempered chocolate and then retrieve it with the dipping fork. Hold the fork over the bowl for several seconds to allow the excess chocolate to drip back into the bowl. Gently scrape the bottom of the fork against the side of the bowl to remove any excess chocolate and roll the dipped truffle in the desired garnish. Place on a parchment paper-covered baking sheet. If you use your hands, dab some chocolate in the palm of one hand. Roll the truffle in that palm to completely coat it with chocolate. Place the enrobed truffle on the baking sheet. Repeat for the remaining truffles. This method is very quick but it can also be extremely messy.
When all of the truffles have been coated once, repeat the enrobing procedure. This is necessary only when you enrobe the truffles by hand rather than with a fork. The truffles are usually more evenly coated when dipped with a fork. As soon as each truffle gets a second coating, immediately roll it in the desired garnish. You need to do this before the chocolate sets or the topping will not adhere. At this stage, it is good to have a friend help because it is hard to dip and roll at the same time. Place the truffles on a clean parchment paper-covered baking sheet and allow them to set, about 5 minutes.
The truffles will keep for up to 2 weeks at room temperature, when stored in an airtight container.
To toast coconut: Preheat the oven to 400°F (204°C). Spread the coconut on a baking sheet and place in the oven for about 3 minutes. Remove from the oven and stir to keep the sugar in the coconut from burning. Return to the oven and toast until golden brown, about 3 more minutes. Remove the baking sheet from the oven and cool on a wire rack.
To toast nuts: Preheat oven to 300°F (148°C). Spread the nuts evenly on a baking sheet and place in the oven. Toast for about 30 minutes, until they are golden brown. You will be able to smell the nuts when they are ready. A good test is to break a nut in half and check to see if it is light brown on the inside. Toasting nuts brings out their natural flavor. Remove them from the oven and allow to cool completely on the baking sheet on a wire rack.",chocolate-truffles-233316,"['Generous 2 cups (18 ounces; 500 grams) heavy cream', '21 ounces (600 grams) bittersweet chocolate, finely chopped', 'Generous 1/4 cup (2 ounces; 60 grams) Grand Marnier or Stoli Razberi vodka (optional)', '18 ounces (500 grams) bittersweet chocolate, tempered', '18 ounces (500 grams) white chocolate, tempered', '2 cups (8 ounces; 230 grams) Dutch-processed unsweetened cocoa powder, sifted', '2 1/2 cups (9 ounces; 250 grams) shredded sweetened coconut, toasted (see note, below)', 'About 2 cups (8 ounces; 230 grams) toasted nuts', 'finely chopped (see note', 'below)']",D:\fooddata\images\chocolate-truffles-233316
keto,Coconut Macaroons,french,11.76,75.07,62.84,2022-10-16,17:59:43,keto,9343,Coconut Macaroons,"['Vegetable oil cooking spray', '10 egg whites', '2 cups unsweetened dried shredded coconut', '2 cups plain quick-cooking oats', '1 tablespoon vanilla extract', '3/4 cup sugar', '1/2 teaspoon salt', '2 tablespoons bittersweet chocolate morsels', '1 teaspoon trans-fat-free soft-tub margarine']","Heat oven to 350°F. Spray 3 baking sheets with cooking spray; set aside. Stir egg whites, coconut, oats, vanilla, sugar and salt in a bowl until well blended. Drop tablespoons of dough onto baking sheets, half an inch apart. Bake macaroons until light golden, 12 to 15 minutes. Transfer to a wire rack and cool completely. Place chocolate morsels and margarine in a glass bowl or measuring cup. Microwave on high until chocolate melts completely, 40 to 50 seconds, or melt in a 350° oven 5 to 6 minutes. (Do not overheat chocolate or it will scorch.) Dip a metal teaspoon into warmed chocolate and gently drizzle chocolate over cookies in a zigzag pattern. Cool completely. Store in an airtight container in a cool, dry place for up to 3 days.",coconut-macaroons-350891,"['Vegetable oil cooking spray', '10 egg whites', '2 cups unsweetened dried shredded coconut', '2 cups plain quick-cooking oats', '1 tablespoon vanilla extract', '3/4 cup sugar', '1/2 teaspoon salt', '2 tablespoons bittersweet chocolate morsels', '1 teaspoon trans-fat-free soft-tub margarine']",D:\fooddata\images\coconut-macaroons-350891
keto,Coconut Macaroons,french,11.76,75.07,62.84,2022-10-16,17:59:43,keto,12588,Coconut Macaroons,"['Butter and flour for preparing baking sheet and foil', '1 flour', '1 large egg white', '1 tablespoon sugar', '1/4 teaspoon vanilla', '1/8 teaspoon almond extract', '3/4 cup sweetened flaked coconut']","Put oven rack in middle position and preheat oven to 300°F. Butter a baking sheet, then line with foil and lightly butter and flour foil, knocking off excess flour.
Stir together egg white, sugar, vanilla, almond extract, and a pinch of salt until combined, then stir in coconut. Divide coconut mixture into fourths, then drop in 4 mounds (about 2 inches apart) onto baking sheet.
Bake until tops are pale golden in spots, 15 to 20 minutes, then carefully lift foil with cookies from baking sheet and transfer to a rack to cool completely, about 15 minutes. Peel macaroons from foil.",coconut-macaroons-232018,"['Butter and flour for preparing baking sheet and foil', '1 flour', '1 large egg white', '1 tablespoon sugar', '1/4 teaspoon vanilla', '1/8 teaspoon almond extract', '3/4 cup sweetened flaked coconut']",D:\fooddata\images\coconut-macaroons-232018
dash,Coconut Macaroons,french,9.06,115.8,33.32,2022-10-16,20:31:04,dash,9343,Coconut Macaroons,"['Vegetable oil cooking spray', '10 egg whites', '2 cups unsweetened dried shredded coconut', '2 cups plain quick-cooking oats', '1 tablespoon vanilla extract', '3/4 cup sugar', '1/2 teaspoon salt', '2 tablespoons bittersweet chocolate morsels', '1 teaspoon trans-fat-free soft-tub margarine']","Heat oven to 350°F. Spray 3 baking sheets with cooking spray; set aside. Stir egg whites, coconut, oats, vanilla, sugar and salt in a bowl until well blended. Drop tablespoons of dough onto baking sheets, half an inch apart. Bake macaroons until light golden, 12 to 15 minutes. Transfer to a wire rack and cool completely. Place chocolate morsels and margarine in a glass bowl or measuring cup. Microwave on high until chocolate melts completely, 40 to 50 seconds, or melt in a 350° oven 5 to 6 minutes. (Do not overheat chocolate or it will scorch.) Dip a metal teaspoon into warmed chocolate and gently drizzle chocolate over cookies in a zigzag pattern. Cool completely. Store in an airtight container in a cool, dry place for up to 3 days.",coconut-macaroons-350891,"['Vegetable oil cooking spray', '10 egg whites', '2 cups unsweetened dried shredded coconut', '2 cups plain quick-cooking oats', '1 tablespoon vanilla extract', '3/4 cup sugar', '1/2 teaspoon salt', '2 tablespoons bittersweet chocolate morsels', '1 teaspoon trans-fat-free soft-tub margarine']",D:\fooddata\images\coconut-macaroons-350891
dash,Coconut Macaroons,french,9.06,115.8,33.32,2022-10-16,20:31:04,dash,12588,Coconut Macaroons,"['Butter and flour for preparing baking sheet and foil', '1 flour', '1 large egg white', '1 tablespoon sugar', '1/4 teaspoon vanilla', '1/8 teaspoon almond extract', '3/4 cup sweetened flaked coconut']","Put oven rack in middle position and preheat oven to 300°F. Butter a baking sheet, then line with foil and lightly butter and flour foil, knocking off excess flour.
Stir together egg white, sugar, vanilla, almond extract, and a pinch of salt until combined, then stir in coconut. Divide coconut mixture into fourths, then drop in 4 mounds (about 2 inches apart) onto baking sheet.
Bake until tops are pale golden in spots, 15 to 20 minutes, then carefully lift foil with cookies from baking sheet and transfer to a rack to cool completely, about 15 minutes. Peel macaroons from foil.",coconut-macaroons-232018,"['Butter and flour for preparing baking sheet and foil', '1 flour', '1 large egg white', '1 tablespoon sugar', '1/4 teaspoon vanilla', '1/8 teaspoon almond extract', '3/4 cup sweetened flaked coconut']",D:\fooddata\images\coconut-macaroons-232018
dash,Three Dots And A Dash,american,0.51,139.67,0.0,2022-10-16,20:29:20,dash,2897,Three Dots and a Dash,"['1 1/2 cups honey', '1 1/2 cups water', '1/2 ounce fresh lime juice', '1/2 ounce fresh orange juice', '1/2 ounce SC honey syrup', ""1/4 ounce John D. Taylor's Velvet Falernum"", '1/4 ounce St. Elizabeth Allspice Dram', '1 1/2 ounces rhum agricole vieux (such as Duqesne Eleve Sous Bois or J.M. Gold)', '1/2 ounce blended age rum (such as Appleton Estate Reserve or Real McCoy 5-Year)', '1 dash Angostura bitters', '3 maraschino cherries, for serving', '1 pineapple chunk, for serving']","Heat the honey in a saucepan over medium heat until runny and not viscous—nearly to a boil but not quite. Add the water to the hot honey and whisk together. Immediately remove from the heat. Let cool. Store in a lidded bottle or other sealable container in the refrigerator. The syrup will keep, refrigerated, for several weeks.
Add all the ingredients to a drink mixer tin. Fill with 12 ounces of crushed ice, flash blend, and pour contents into a footed pilsner glass. Add garnish.",three-dots-and-a-dash,"['1 1/2 cups honey', '1 1/2 cups water', '1/2 ounce fresh lime juice', '1/2 ounce fresh orange juice', '1/2 ounce SC honey syrup', '""1/4 ounce John D. Taylors Velvet Falernum"", 1/4 ounce St. Elizabeth Allspice Dram', '1 1/2 ounces rhum agricole vieux (such as Duqesne Eleve Sous Bois or J.M. Gold)', '1/2 ounce blended age rum (such as Appleton Estate Reserve or Real McCoy 5-Year)', '1 dash Angostura bitters', '3 maraschino cherries, for serving', '1 pineapple chunk', 'for serving']",D:\fooddata\images\three-dots-and-a-dash
dash,Al's Bloody Best,world,1.0,4.81,0.35,2022-10-16,20:29:20,dash,12034,Al's Bloody Best,"['4 ounces of tomato juice', '1/2 teaspoon of Worcestershire sauce', '1 dash of lemon juice', '2 drops of Tabasco', '1 dash of pepper (to taste)', '1 dash of salt (to taste)', '1 1/2 ounces of Grey Goose vodka', '1 dash of celery salt', 'smidgen of horseradish']","Shake and pour into a tall glass filled one-third with ice, garnish with green olives, and upsy-daisy. If that doesn't work, light three candles, take a cold shower, drink hot coffee, lie flat, and moan. And next time, try to behave.
Begin by turning on music best suited for the occasion of a near-death hangover. A dirge is always nice. Then in a cocktail shaker, and, for those who like a kick in the head, a smidgen of horseradish.",als-bloody-best-234122,"['4 ounces of tomato juice', '1/2 teaspoon of Worcestershire sauce', '1 dash of lemon juice', '2 drops of Tabasco', '1 dash of pepper (to taste)', '1 dash of salt (to taste)', '1 1/2 ounces of Grey Goose vodka', '1 dash of celery salt', 'smidgen of horseradish']",D:\fooddata\images\als-bloody-best-234122
dash,Sazerac,world,0.0,4.87,0.0,2022-10-16,20:29:20,dash,549,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-237263,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-237263
dash,Sazerac,world,0.0,4.87,0.0,2022-10-16,20:29:20,dash,9365,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",absinthe-sazerac-350802,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\absinthe-sazerac-350802
